epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.14234911425349614,0.9665989244113301,0.014395869603114468,0.9993093301181696
2,0.012436863407492638,0.9993119238903423,0.010233380565685886,0.9993093301181696
3,0.00846035919773082,0.9993119238903423,0.007290281954088381,0.9993093301181696
4,0.006184811114023129,0.9993119238903423,0.005725110082754067,0.9993093301181696
5,0.005037685483694076,0.9993119238903423,0.0048063029535114765,0.9993093301181696
6,0.004323818969229857,0.999311997924785,0.004176150608275618,0.9993127965094469
7,0.003775275032967329,0.9993147297957174,0.0036819448827632834,0.9993145468654384
8,0.0033315569395199417,0.9993187646728399,0.0032711111873920473,0.9993201068197645
9,0.0029875591009234388,0.9993283595366027,0.002969611802005342,0.9993358943443938
10,0.002712485706433654,0.999344906234527,0.0027138739159064634,0.9993508581720861
11,0.0024612416590874394,0.9993643476791576,0.0024676896365625517,0.9993680185249442
12,0.002231622712376217,0.9993922364536904,0.0022465988461460385,0.9994007261574915
13,0.0020096912359197933,0.999423434567808,0.0020349490722375257,0.9994300017194674
14,0.0018026454568219681,0.9994610218543234,0.0018115368438884616,0.9994764033135954
15,0.0016015503167485198,0.9995012743807727,0.0016291968391409942,0.9995155289181118
16,0.0014204766989375154,0.9995444364608169,0.0014546255448034831,0.9995596653456627
17,0.0012575445735516647,0.999589293929597,0.0012940829453457678,0.9995879456071728
18,0.0011090866988524794,0.9996321672753149,0.001158031784663243,0.9996320820347236
19,0.000980173881786565,0.9996727455533119,0.001037941813202841,0.9996662654576168
20,0.0008700004953425377,0.9997103698570484,0.0009230888598332447,0.9997034347819074
21,0.0007688028990135838,0.9997463654030475,0.0008229253913408943,0.9997340831721118
22,0.0006879626249428839,0.999777104503621,0.0007413205042082284,0.9997667221632478
23,0.0006073265297648808,0.99980443061639,0.0006787220648090754,0.9997911928264234
24,0.0005467118384937446,0.9998298022198739,0.0006143922385360513,0.9998080786136356
25,0.0004917758371448145,0.9998489993508438,0.0005715864743771297,0.9998234886105022
26,0.00044612428561473884,0.9998673598926121,0.0005256354426299888,0.9998367364029086
27,0.0004077586238660539,0.999883240280553,0.00048618206970526705,0.9998547204527038
28,0.00037058797315694394,0.9998943972710549,0.00045210183348639736,0.9998647077780672
29,0.0003373444827351098,0.9999065019024224,0.0004204080323688686,0.9998755188003677
30,0.0003118316274291525,0.9999152009494295,0.00040241637699572105,0.9998820740551595
31,0.0002909030357841402,0.9999221009594812,0.00037326508650689254,0.9998918897769944
32,0.0002691705580218695,0.9999286530076525,0.00035538568876550665,0.9998959396202689
33,0.0002526852273149416,0.9999333838085356,0.0003434533968434802,0.9999037304204664
34,0.0002372627971150602,0.9999374260891024,0.000323746120557189,0.9999044854759922
35,0.00022370641818270087,0.9999407502355757,0.00031046078324184885,0.9999104572787868
36,0.00020955862516226867,0.9999442668715999,0.00029438043462245593,0.9999141982357098
37,0.00020360165945021436,0.9999465767462095,0.00028899399746608524,0.9999138550286526
38,0.00019049949138813342,0.9999481981005027,0.000274005312738674,0.9999190031345101
39,0.00017699691767726714,0.999952255187958,0.0002675810787228069,0.9999212339803816
40,0.0001702306282822974,0.9999544169936824,0.0002518726146913001,0.9999258672756532
41,0.00016611768708874782,0.9999557348067609,0.0002552353253122419,0.9999264507276504
42,0.00015692070010118187,0.9999570230060624,0.00024067575577646494,0.9999298484775163
43,0.00015102299221325666,0.9999583556260294,0.00024102309751989587,0.9999296768739877
44,0.00015055814146762713,0.9999581631364787,0.00023257615352382084,0.9999304319295135
45,0.00014001759554957972,0.9999602657146489,0.00022778631578798274,0.9999326627753851
46,0.00013622910143264259,0.9999605914661964,0.00022363442985806614,0.9999331775859708
47,0.0001358996606237876,0.9999612503727356,0.00021737825591117144,0.9999350995454909
48,0.00013024797590333037,0.9999622868549323,0.00021674367391304777,0.9999350995454909
49,0.00012436197139322757,0.9999630790234683,0.0002076174194891272,0.9999373647120682
50,0.00011949724430451169,0.9999643894331025,0.000206043099751696,0.9999379481640653
